#
# Engine name: 15kN Ethalox
# Tue 6. Oct 10:01:18 2020
#
# Lc= 189.42695 mm	 Rc=  65.76221 mm
# R1=  37.28367 mm	 R2= 134.02304 mm
# bc=  30.00000   	 Rt=  24.85578 mm
# Le= 169.91768 mm	 Re=  69.98170 mm
# Rn=   9.49491 mm
# c1=  22.97051   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
  235.42306	   41.54869
  235.78241	   41.66810
  236.14175	   41.78740
  236.50109	   41.90636
  236.86044	   42.02510
  237.21978	   42.14363
  237.57913	   42.26182
  237.93847	   42.37992
  238.29782	   42.49754
  238.65716	   42.61517
  239.01651	   42.73229
  239.37585	   42.84936
  239.73520	   42.96605
  240.09454	   43.08257
  240.45389	   43.19883
  240.81323	   43.31480
  241.17257	   43.43063
  241.53192	   43.54606
  241.89126	   43.66147
  242.25061	   43.77635
  242.60995	   43.89122
  242.96930	   44.00567
  243.32864	   44.11999
  243.68799	   44.23402
  244.04733	   44.34781
  244.40668	   44.46142
  244.76602	   44.57466
  245.12537	   44.68786
  245.48471	   44.80055
  245.84405	   44.91325
  246.20340	   45.02550
  246.56274	   45.13765
  246.92209	   45.24949
  247.28143	   45.36110
  247.64078	   45.47254
  248.00012	   45.58361
  248.35947	   45.69464
  248.71881	   45.80517
  249.07816	   45.91571
  249.43750	   46.02580
  249.79685	   46.13580
  250.15619	   46.24549
  250.51553	   46.35495
  250.87488	   46.46425
  251.23422	   46.57317
  251.59357	   46.68207
  251.95291	   46.79047
  252.31226	   46.89886
  252.67160	   47.00684
  253.03095	   47.11470
  253.39029	   47.22228
  253.74964	   47.32961
  254.10898	   47.43681
  254.46833	   47.54361
  254.82767	   47.65041
  255.18701	   47.75669
  255.54636	   47.86296
  255.90570	   47.96886
  256.26505	   48.07460
  256.62439	   48.18012
  256.98374	   48.28534
  257.34308	   48.39048
  257.70243	   48.49517
  258.06177	   48.59986
  258.42112	   48.70410
  258.78046	   48.80826
  259.13981	   48.91213
  259.49915	   49.01577
  259.85850	   49.11926
  260.21784	   49.22238
  260.57718	   49.32550
  260.93653	   49.42810
  261.29587	   49.53070
  261.65522	   49.63293
  262.01456	   49.73501
  262.37391	   49.83687
  262.73325	   49.93844
  263.09260	   50.03994
  263.45194	   50.14098
  263.81129	   50.24203
  264.17063	   50.34265
  264.52998	   50.44318
  264.88932	   50.54344
  265.24866	   50.64345
  265.60801	   50.74335
  265.96735	   50.84285
  266.32670	   50.94235
  266.68604	   51.04138
  267.04539	   51.14037
  267.40473	   51.23905
  267.76408	   51.33753
  268.12342	   51.43585
  268.48277	   51.53382
  268.84211	   51.63178
  269.20146	   51.72925
  269.56080	   51.82670
  269.92014	   51.92382
  270.27949	   52.02077
  270.63883	   52.11754
  270.99818	   52.21398
  271.35752	   52.31041
  271.71687	   52.40635
  272.07621	   52.50228
  272.43556	   52.59786
  272.79490	   52.69329
  273.15425	   52.78853
  273.51359	   52.88346
  273.87294	   52.97836
  274.23228	   53.07278
  274.59162	   53.16720
  274.95097	   53.26127
  275.31031	   53.35519
  275.66966	   53.44892
  276.02900	   53.54234
  276.38835	   53.63574
  276.74769	   53.72866
  277.10704	   53.82158
  277.46638	   53.91415
  277.82573	   54.00657
  278.18507	   54.09881
  278.54442	   54.19074
  278.90376	   54.28265
  279.26310	   54.37408
  279.62245	   54.46551
  279.98179	   54.55660
  280.34114	   54.64753
  280.70048	   54.73831
  281.05983	   54.82875
  281.41917	   54.91918
